id,value
Franklin D. Roosevelt,2504
James Monroe,2361
William McKinley,2048
Ronald Reagan,1923
William Henry Harrison,1903
Barack Obama,1831
Dwight D. Eisenhower,1684
Thomas Jefferson,1628
Grover Cleveland,1593
Abraham Lincoln,1519
Richard Milhous Nixon,1471
Bill Clinton,1468
George W. Bush,1467
William Howard Taft,1458
Martin Van Buren,1424
James Knox Polk,1396
Benjamin Harrison,1360
Woodrow Wilson,1285
Warren G. Harding,1212
Calvin Coolidge,1203
Franklin Pierce,1196
Herbert Hoover,1138
Ulysses S. Grant,1137
Andrew Jackson,1108
James Madison,1104
James A. Garfield,1093
John Quincy Adams,1016
James Buchanan,992
Rutherford B. Hayes,907
Harry S. Truman,890
John Adams,872
George Bush,851
George Washington,776
John F. Kennedy,631
Lyndon Baines Johnson,610
Donald J. Trump,600
Jimmy Carter,574
Zachary Taylor,546
Theodore Roosevelt,407
